IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.13.200,2096,TRUE,NRT,Asia Pacific,JP,88,19.58
47.74.49.62,2096,TRUE,NRT,Asia Pacific,JP,95,17.78
47.245.33.163,2096,TRUE,NRT,Asia Pacific,JP,98,17.52
47.74.13.94,2096,TRUE,NRT,Asia Pacific,JP,74,15.69
8.209.214.222,2096,TRUE,NRT,Asia Pacific,JP,94,14.31
47.74.54.145,2096,TRUE,NRT,Asia Pacific,JP,72,14.27
47.74.7.51,2096,TRUE,NRT,Asia Pacific,JP,68,13.32
47.74.10.135,2096,TRUE,NRT,Asia Pacific,JP,65,12.78
158.101.140.154,2096,TRUE,NRT,Asia Pacific,JP,95,5.4
47.91.3.112,2083,TRUE,NRT,Asia Pacific,JP,91,17.4
47.74.42.111,2083,TRUE,NRT,Asia Pacific,JP,91,9.42
47.245.56.121,2087,TRUE,,Asia Pacific,JP,89,17.02
47.91.14.47,2087,TRUE,,Asia Pacific,JP,72,16.54
47.245.56.29,2087,TRUE,,Asia Pacific,JP,69,14.19
8.219.51.211,2096,TRUE,SIN,Asia Pacific,SG,81,23.18
8.219.228.157,2096,TRUE,SIN,Asia Pacific,SG,84,23.06
8.219.42.72,2096,TRUE,SIN,Asia Pacific,SG,80,22.84
8.219.174.213,2096,TRUE,SIN,Asia Pacific,SG,76,22.02
8.219.97.179,2096,TRUE,SIN,Asia Pacific,SG,78,21.96
8.219.179.34,2096,TRUE,SIN,Asia Pacific,SG,85,13.27
8.222.255.15,2096,TRUE,SIN,Asia Pacific,SG,79,10.64
138.2.104.2,2096,TRUE,SIN,Asia Pacific,SG,78,9.76
8.219.58.64,2096,TRUE,SIN,Asia Pacific,SG,82,8.07
47.245.107.174,2096,TRUE,SIN,Asia Pacific,SG,81,6.25
8.219.72.51,2096,TRUE,SIN,Asia Pacific,SG,84,5.77
8.222.202.163,2083,TRUE,SIN,Asia Pacific,SG,80,4.04
8.222.219.34,2053,TRUE,SIN,Asia Pacific,SG,82,15.48
47.243.162.49,2096,TRUE,HKG,Asia Pacific,HK,51,17.42
8.218.127.249,2096,TRUE,HKG,Asia Pacific,HK,51,6.92
8.217.147.230,2096,TRUE,HKG,Asia Pacific,HK,43,5.51
8.218.3.12,2083,TRUE,HKG,Asia Pacific,HK,40,5.21
8.218.181.189,2087,TRUE,,Asia Pacific,HK,47,9.13
104.26.8.142,443,TRUE,,,,100.18,9.9
104.26.5.152,443,TRUE,,,,101.73,8.95
104.26.14.139,443,TRUE,,,,103.29,7.12
104.26.14.58,2087,TRUE,,,,105.41,9.76
104.26.8.39,2087,TRUE,,,,99.02,9.3
104.26.0.75,2083,TRUE,,,,103.96,6.92
104.26.12.13,2083,TRUE,,,,104.21,5.54
162.159.130.229,2083,TRUE,,,,100.4,5.12
